name,firstName,country,title,studio,duration,year,category,genre,award,addon,
TAYLOR,Joseph,USA,No user-serviceable parts inside,,0:12:00,1987,Live,,M,,
SCHWEIZER,Frank,Allemagne,Streichquartett n° 11,,00:14:00,1987,Live,,M1,,
D'ESCRIVAN,Julio,Venezuela,Sin ti por el alma adentro (pour flûte et bande),,0:11:00,1987,Mixte,,1,,
KAEGI,Werner,Suisse,Ritournelles II (pour soprano et ordinateur),,0:15:48,1987,Mixte,,2,,
ARCURI,Serge,Canada,Chronaxie (pour percussions et bande),,0:12:14,1987,Mixte,,M,,
KERGOMARD,Henri,France,Hapsis (pour violoncelle et bande),,0:07:15,1987,Mixte,,Prix CNM,,
KARPEN,Richard,USA,Exchange (pour flûte et bande),,0:13:00,1987,Mixte,,Prix Bregman,,
ALBRIGHT,William,,Sphaera (pour piano et bande),,0:12:45,1987,Mixte,,M,,
LIPPE,Cort,USA,Music for bass clarinet and tape,,0:10:00,1987,Mixte,,M,,
ALVAREZ,Javier,Mexique,Papaloth (pour piano et bande),,0:13:07,1987,Mixte,,Prix CIME,,
VAUGHAN,Michael,Gde Bretagne,It moves… it moves not (pourshakuhachi et bande),,0:13:30,1987,Mixte,,M,,
DYETT,Kim,Nlle Zélande,Wallpapermusic,,0:26:40,1987,Programme,,1,,
GUTTMAN,Ben,Israël,Different attitudes,,0:11:41,1987,Programme,,2,,
FERREYRA,Béatriz,Argentine,A.U.F.O. Forest,,0:14:00,1987,Programme,,M,,
GUNES,Betin,Turquie,Bilimde Hersey Varder,,0:08:30,1987,Programme,,M,,
PAYNE,Maggi,USA,Àirwaves (realitites),,0:10:30,1987,Programme,,M,,
OLSSON,Justice,France,Moon over Sandra,,00:14:00,1987,Programme,,M,,
GOBEIL,Gilles,Canada,Rivages,,0:08:40,1988,Électroacoustique,,M,,
PARMERUD,Ake,Suède,Repulse,,0:10:11,1988,Électroacoustique,,1,EA,
NORMANDEAU,Robert,Canada,Rumers (Place Ransbeck),,0:12:30,1988,Électroacoustique,,2,EA,
TAUBE,Heinrich,USA,Tremens,,0:13:00,1988,Électroacoustique,,M,,
POULARD,Gabriel,France,La mémoires des pierres,,0:13:53,1988,Électroacoustique,,2,EA,
DOLDEN,Paul,Canada,In the natural doorway I crouch,,0:15:00,1988,Électroacoustique,,1,EA,
CAHEN,Roland,France,Murs et Murmures,,0:20:30,1988,Électroacoustique,,M,,
BEYLS,Peter,Belgique,The headless Horseman,,0:24:00,1988,Live,,M,,
DENIS,Jean-François,Canada,Trajectoir,,0:08:10,1988,Live,,M,,
PONGRACZ,Zoltan,Hongrie,Constrastes polaires et successifs,,0:07:15,1988,Magistère,,MA,,
DHOMONT,Francis,France,Chiaroscuro,,0:17:38,1988,Magistère,,MA,,
KAUFMANN,Dieter,Autriche,Le voyage au Paradis,,0:20:00,1988,Magistère,,MA,,
VAGGIONE,Horacio,Argentine,Tar (pour clarinette basse et bande),,0:09:33,1988,Mixte,,2,,
